"The only way to do great work is to love what you do.";Steve Jobs
"Success is not how high you have climbed, but how you make a positive difference to the world.";Roy T. Bennett
"Your time is limited, so don't waste it living someone else's life.";Steve Jobs
"Strive not to be a success, but rather to be of value.";Albert Einstein
"I attribute my success to this: I never gave or took any excuse.";Florence Nightingale
"You miss 100% of the shots you don't take.";Wayne Gretzky
"The most difficult thing is the decision to act, the rest is merely tenacity.";Amelia Earhart
"Every strike brings me closer to the next home run.";Babe Ruth
"The best time to plant a tree was 20 years ago. The second best time is now.";Chinese Proverb
"The future belongs to those who believe in the beauty of their dreams.";Eleanor Roosevelt
"It does not matter how slowly you go as long as you do not stop.";Confucius
"Everything you've ever wanted is on the other side of fear.";George Addair
"The only limit to our realization of tomorrow is our doubts of today.";Franklin D. Roosevelt
"Act as if what you do makes a difference. It does.";William James
"Success is not final, failure is not fatal: It is the courage to continue that counts.";Winston Churchill
"Hardships often prepare ordinary people for an extraordinary destiny.";C.S. Lewis
"Believe you can and you're halfway there.";Theodore Roosevelt
"It always seems impossible until it's done.";Nelson Mandela
"Keep your face always toward the sunshineâ€”and shadows will fall behind you.";Walt Whitman
"What lies behind us and what lies before us are tiny matters compared to what lies within us.";Ralph Waldo Emerson
"Opportunities don't happen. You create them.";Chris Grosser
"Don't be afraid to give up the good to go for the great.";John D. Rockefeller
"I find that the harder I work, the more luck I seem to have.";Thomas Jefferson
"If you set your goals ridiculously high and it's a failure, you will fail above everyone else's success.";James Cameron
"Success usually comes to those who are too busy to be looking for it.";Henry David Thoreau